turbine,lead_day,flow,season_year,season,speed_bin,n,median_ratio,mean_power
t1,1,WSW/W,2024,summer,6–8,97,0.8741496598639458,0.29759450171821306
t1,1,WSW/W,2024,summer,8–10,52,0.8829205786123262,0.4104807692307692
t1,1,WSW/W,2024,summer,10–12,24,0.5217892997284528,0.31395833333333334
t1,1,WSW/W,2024,summer,12+,10,0.7200742223937727,0.6941666666666666
t1,1,WSW/W,2024,winter,2–4,26,1.2820543615676359,0.0673076923076923
t1,1,WSW/W,2024,winter,4–6,59,1.2081795817958179,0.20649717514124294
t1,1,WSW/W,2024,winter,6–8,26,1.0899631984432823,0.4296794871794872
t1,1,WSW/W,2024,winter,8–10,4,0.7727757285617118,0.19583333333333333
t1,1,WSW/W,2024,winter,12+,19,0.7284845231705136,0.9900877192982455
t1,1,WSW/W,2025,autumn,2–4,148,1.2532569604396495,0.13356981981981983
t1,1,WSW/W,2025,autumn,4–6,144,1.21057113026038,0.29355324074074074
t1,1,WSW/W,2025,autumn,6–8,121,1.0707395498392283,0.4734710743801653
t1,1,WSW/W,2025,autumn,8–10,91,1.1062431544359255,0.6993406593406594
t1,1,WSW/W,2025,autumn,10–12,74,1.049365949839332,0.8411711711711711
t1,1,WSW/W,2025,autumn,12+,40,0.8874988048309417,0.8385
t1,1,WSW/W,2025,spring,2–4,89,0.9414414414414414,0.11174157303370787
t1,1,WSW/W,2025,spring,4–6,198,0.9375459160167519,0.23777609427609428
t1,1,WSW/W,2025,spring,6–8,149,0.8768115942028986,0.3530089485458613
t1,1,WSW/W,2025,spring,8–10,172,0.8660855542514718,0.5408895348837209
t1,1,WSW/W,2025,spring,10–12,120,0.9066181189223603,0.7163888888888889
t1,1,WSW/W,2025,spring,12+,140,0.8488011495551578,0.8580833333333333
t1,1,WSW/W,2025,summer,2–4,150,0.8864169426048565,0.11146666666666666
t1,1,WSW/W,2025,summer,4–6,226,0.9118995622866974,0.2111098820058997
t1,1,WSW/W,2025,summer,6–8,272,0.8802786602427889,0.3160661764705882
t1,1,WSW/W,2025,summer,8–10,167,1.0095486111111112,0.5703792415169661
t1,1,WSW/W,2025,summer,10–12,81,0.8664459161147903,0.6158230452674898
t1,1,WSW/W,2025,summer,12+,58,0.6885973974639421,0.6040402298850576
t1,1,WSW/W,2025,winter,2–4,93,1.3,0.07673835125448028
t1,1,WSW/W,2025,winter,4–6,113,0.9782282282282282,0.13833333333333334
t1,1,WSW/W,2025,winter,6–8,111,1.0364206464061745,0.4072072072072072
t1,1,WSW/W,2025,winter,8–10,77,1.0341880341880343,0.639047619047619
t1,1,WSW/W,2025,winter,10–12,31,0.8428046366977666,0.7141935483870968
t1,1,WSW/W,2025,winter,12+,60,0.8299320628977469,0.9433055555555555
t1,1,WSW/W,2026,winter,2–4,101,1.4494535519125684,0.06767326732673268
t1,1,WSW/W,2026,winter,4–6,90,1.0088276836158192,0.15274074074074073
t1,1,WSW/W,2026,winter,6–8,69,1.0899810066476734,0.4626086956521739
t1,1,WSW/W,2026,winter,8–10,54,1.040130260521042,0.6260802469135802
t1,1,WSW/W,2026,winter,10–12,26,1.0174576853254114,0.8675641025641025
t1,1,WSW/W,2026,winter,12+,13,0.9322033898305083,0.8355128205128205
t1,2,ENE/E,2024,autumn,2–4,172,1.272461043914133,0.1692248062015504
t1,2,ENE/E,2024,autumn,4–6,246,1.220409931736993,0.3526260162601626
t1,2,ENE/E,2024,autumn,6–8,282,1.2086341938063285,0.5833687943262411
t1,2,ENE/E,2024,autumn,8–10,177,1.2169131588926811,0.8119397363465161
t1,2,ENE/E,2024,autumn,10–12,24,1.3119803985536795,0.9578472222222222
t1,2,ENE/E,2024,spring,2–4,115,1.3803680981595092,0.2051014492753623
t1,2,ENE/E,2024,spring,4–6,176,1.179846450284839,0.3254261363636364
t1,2,ENE/E,2024,spring,6–8,175,1.2915531335149861,0.5963771428571428
t1,2,ENE/E,2024,spring,8–10,81,1.0979563072586327,0.6441687242798354
t1,2,ENE/E,2024,spring,10–12,41,1.1718080548414738,0.9001219512195122
t1,2,ENE/E,2024,spring,12+,11,1.0587256300523062,0.9884848484848484
t1,2,ENE/E,2024,summer,2–4,58,1.4381260283462747,0.22385057471264366
t1,2,ENE/E,2024,summer,4–6,106,1.100610129109115,0.2566194968553459
t1,2,ENE/E,2024,summer,6–8,70,1.0091162402692102,0.4246428571428571
t1,2,ENE/E,2024,summer,8–10,17,1.2628415300546447,0.6043137254901961
t1,2,ENE/E,2024,winter,2–4,29,1.7088772845953,0.19913793103448274
t1,2,ENE/E,2024,winter,4–6,42,1.6214302719903375,0.5009920634920635
t1,2,ENE/E,2024,winter,6–8,39,1.4825129533678758,0.8355982905982905
t1,2,ENE/E,2024,winter,8–10,5,1.228395061728395,0.9663333333333334
t1,2,ENE/E,2025,autumn,2–4,181,1.3614864864864866,0.14967771639042357
t1,2,ENE/E,2025,autumn,4–6,266,1.0705890548019807,0.26123684210526316
t1,2,ENE/E,2025,autumn,6–8,168,1.1163151337060788,0.524265873015873
t1,2,ENE/E,2025,autumn,8–10,88,1.1454128209252705,0.725530303030303
t1,2,ENE/E,2025,autumn,10–12,28,1.1301369703767148,0.8914880952380952
t1,2,ENE/E,2025,autumn,12+,36,0.9579341943676263,0.9293055555555555
t1,2,ENE/E,2025,spring,2–4,113,1.4209209209209208,0.22222713864306787
t1,2,ENE/E,2025,spring,4–6,193,1.2878205128205127,0.3738255613126079
t1,2,ENE/E,2025,spring,6–8,242,1.3533262890575926,0.645685261707989
t1,2,ENE/E,2025,spring,8–10,107,1.3206229860365197,0.8867133956386293
t1,2,ENE/E,2025,spring,10–12,39,1.2344386271087842,0.9605128205128205
t1,2,ENE/E,2025,spring,12+,12,0.9915123335413247,0.8402777777777778
t1,2,ENE/E,2025,summer,2–4,95,1.4898373983739839,0.1849824561403509
t1,2,ENE/E,2025,summer,4–6,114,1.0946883017821234,0.2818274853801169
t1,2,ENE/E,2025,summer,6–8,108,0.9742737206560272,0.3910864197530864
t1,2,ENE/E,2025,summer,8–10,62,0.9817343604108311,0.530241935483871
t1,2,ENE/E,2025,summer,10–12,14,0.936655503724717,0.7801190476190476
t1,2,ENE/E,2025,winter,2–4,312,1.4807635315119312,0.16136217948717949
t1,2,ENE/E,2025,winter,4–6,355,1.2217090069284064,0.3117981220657277
t1,2,ENE/E,2025,winter,6–8,343,1.2806122448979593,0.6367201166180757
t1,2,ENE/E,2025,winter,8–10,176,1.2800945044606815,0.8797537878787879
t1,2,ENE/E,2025,winter,10–12,61,1.171559633027523,0.9653551912568306
t1,2,ENE/E,2025,winter,12+,8,0.9611066559743384,0.9870833333333332
t1,2,ENE/E,2026,winter,2–4,95,1.4016260162601628,0.19287719298245615
t1,2,ENE/E,2026,winter,4–6,220,1.216391897449959,0.3087878787878788
t1,2,ENE/E,2026,winter,6–8,232,1.1227766533393058,0.5270186781609195
t1,2,ENE/E,2026,winter,8–10,128,1.234159987397942,0.7549609374999999
t1,2,ENE/E,2026,winter,10–12,40,1.3204289580468775,0.9854999999999998
t1,2,ENE/E,2026,winter,12+,5,1.2148814177743028,0.9899999999999999
t1,2,WSW/W,2024,autumn,2–4,91,1.4622833843017329,0.19338827838827838
t1,2,WSW/W,2024,autumn,4–6,157,1.0521739130434782,0.25395966029723993
t1,2,WSW/W,2024,autumn,6–8,130,0.9039532987353585,0.31088461538461537
t1,2,WSW/W,2024,autumn,8–10,111,0.9450680272108843,0.5525675675675675
t1,2,WSW/W,2024,autumn,10–12,120,0.9551420171479579,0.756125
t1,2,WSW/W,2024,autumn,12+,113,0.8614093036058355,0.8674778761061946
t1,2,WSW/W,2024,spring,2–4,100,1.219594510654862,0.15748333333333334
t1,2,WSW/W,2024,spring,4–6,177,1.1047430830039526,0.240225988700565
t1,2,WSW/W,2024,spring,6–8,157,0.9916911045943303,0.3809447983014862
t1,2,WSW/W,2024,spring,8–10,129,0.905894519131334,0.5533850129198967
t1,2,WSW/W,2024,spring,10–12,111,0.9460908834321197,0.7616366366366367
t1,2,WSW/W,2024,spring,12+,186,0.8594734159557915,0.8576344086021505
t1,2,WSW/W,2024,summer,2–4,65,1.0992248062015504,0.14266666666666666
t1,2,WSW/W,2024,summer,4–6,107,0.6514184397163121,0.13657320872274142
t1,2,WSW/W,2024,summer,6–8,77,0.7664907651715039,0.2671428571428571
t1,2,WSW/W,2024,summer,8–10,55,0.7835332606324973,0.3815757575757576
t1,2,WSW/W,2024,summer,10–12,12,0.7902744106125926,0.46680555555555553
t1,2,WSW/W,2024,summer,12+,15,0.5648207769907706,0.5342222222222223
t1,2,WSW/W,2024,winter,2–4,47,1.5694864048338368,0.1906737588652482
t1,2,WSW/W,2024,winter,4–6,45,1.3336693548387095,0.25096296296296294
t1,2,WSW/W,2024,winter,6–8,22,1.0042898348585552,0.2846969696969697
t1,2,WSW/W,2024,winter,8–10,5,0.9493801652892562,0.5016666666666667
t1,2,WSW/W,2024,winter,10–12,3,0.34180790960451984,0.024999999999999998
t1,2,WSW/W,2025,autumn,2–4,144,1.2130426245894619,0.12048611111111113
t1,2,WSW/W,2025,autumn,4–6,127,1.1995192307692308,0.28509186351706034
t1,2,WSW/W,2025,autumn,6–8,107,1.0917312661498708,0.5035046728971962
t1,2,WSW/W,2025,autumn,8–10,96,1.1142689097728045,0.6770833333333334
t1,2,WSW/W,2025,autumn,10–12,65,0.9811411992263057,0.7731538461538461
t1,2,WSW/W,2025,autumn,12+,40,0.9462363130317184,0.917
t1,2,WSW/W,2025,spring,2–4,125,0.8549127640036732,0.12218
t1,2,WSW/W,2025,spring,4–6,155,1.0150226757369616,0.2605086021505376
t1,2,WSW/W,2025,spring,6–8,166,0.863516475236638,0.3440943775100402
t1,2,WSW/W,2025,spring,8–10,158,0.8768574226675406,0.5262763713080169
t1,2,WSW/W,2025,spring,10–12,128,0.937987542150027,0.7294921875
t1,2,WSW/W,2025,spring,12+,126,0.8242216687422168,0.8794444444444444
t1,2,WSW/W,2025,summer,2–4,193,1.0402883799830365,0.15250431778929188
t1,2,WSW/W,2025,summer,4–6,255,0.9640522875816995,0.24034771241830064
t1,2,WSW/W,2025,summer,6–8,229,0.9175232501223692,0.3491484716157205
t1,2,WSW/W,2025,summer,8–10,164,0.8900333113234379,0.46284552845528454
t1,2,WSW/W,2025,summer,10–12,57,0.7796180244703075,0.5545029239766082
t1,2,WSW/W,2025,summer,12+,48,0.7596840462450773,0.7537013888888889
t1,2,WSW/W,2025,winter,2–4,98,1.297751524390244,0.09039115646258503
t1,2,WSW/W,2025,winter,4–6,111,1.0501126126126128,0.19031531531531531
t1,2,WSW/W,2025,winter,6–8,88,0.9455339787609292,0.35820075757575753
t1,2,WSW/W,2025,winter,8–10,90,0.8899068065854849,0.5202037037037037
t1,2,WSW/W,2025,winter,10–12,40,0.8413532724275299,0.6950416666666667
t1,2,WSW/W,2025,winter,12+,67,0.7787179487179487,0.8614676616915422
t1,2,WSW/W,2026,winter,2–4,108,1.4837139519020044,0.09364197530864198
t1,2,WSW/W,2026,winter,4–6,77,1.0350089766606823,0.198008658008658
t1,2,WSW/W,2026,winter,6–8,70,1.1456199443218824,0.48714285714285716
t1,2,WSW/W,2026,winter,8–10,35,1.1519661889011392,0.7160952380952381
t1,2,WSW/W,2026,winter,10–12,32,0.9402731396449044,0.7594270833333333
t1,2,WSW/W,2026,winter,12+,14,1.0100892293986186,0.8273809523809523
t2,1,ENE/E,2024,autumn,2–4,155,1.460252935862692,0.14891397849462365
t2,1,ENE/E,2024,autumn,4–6,240,1.306681158987231,0.3783680555555556
t2,1,ENE/E,2024,autumn,6–8,285,1.3576445164775797,0.6505614035087719
t2,1,ENE/E,2024,autumn,8–10,155,1.2805077805077805,0.8371397849462365
t2,1,ENE/E,2024,autumn,10–12,12,1.3002246473384587,0.9640277777777778
t2,1,ENE/E,2024,spring,2–4,148,1.3322138627655868,0.17342342342342343
t2,1,ENE/E,2024,spring,4–6,177,1.3571024335031128,0.3832297551789077
t2,1,ENE/E,2024,spring,6–8,193,1.4255715045188728,0.6621502590673575
t2,1,ENE/E,2024,spring,8–10,82,1.250103729031917,0.7756707317073172
t2,1,ENE/E,2024,spring,10–12,27,1.254969749351772,0.9184567901234568
t2,1,ENE/E,2024,spring,12+,5,1.0011330160888283,0.9506666666666668
t2,1,ENE/E,2024,summer,2–4,117,1.2410394265232976,0.15703703703703706
t2,1,ENE/E,2024,summer,4–6,154,1.1112232418548371,0.2877705627705628
t2,1,ENE/E,2024,summer,6–8,109,1.1524419155998102,0.4880642201834862
t2,1,ENE/E,2024,summer,8–10,21,1.3750923872875094,0.8526190476190477
t2,1,ENE/E,2024,winter,2–4,24,1.5176609105180532,0.21493055555555554
t2,1,ENE/E,2024,winter,4–6,42,1.6505809731299927,0.4714285714285714
t2,1,ENE/E,2024,winter,6–8,44,1.5062803449168887,0.795719696969697
t2,1,ENE/E,2024,winter,8–10,11,1.29694154084398,0.8828787878787878
t2,1,ENE/E,2025,autumn,2–4,185,1.2782186948853616,0.13641441441441443
t2,1,ENE/E,2025,autumn,4–6,284,1.0920377570499191,0.2576737089201878
t2,1,ENE/E,2025,autumn,6–8,144,1.1552981576998327,0.5084606481481482
t2,1,ENE/E,2025,autumn,8–10,98,1.1916695303849183,0.6932142857142858
t2,1,ENE/E,2025,autumn,10–12,25,1.1261985335589397,0.9287333333333333
t2,1,ENE/E,2025,autumn,12+,34,0.9448379552288674,0.9336274509803922
t2,1,ENE/E,2025,spring,2–4,93,1.5087209302325584,0.1788709677419355
t2,1,ENE/E,2025,spring,4–6,185,1.399543378995434,0.42045495495495494
t2,1,ENE/E,2025,spring,6–8,208,1.456011633376755,0.6818108974358974
t2,1,ENE/E,2025,spring,8–10,122,1.3653094006462398,0.8813387978142078
t2,1,ENE/E,2025,spring,10–12,41,1.2526195153896529,0.9560772357723578
t2,1,ENE/E,2025,spring,12+,7,0.9872824631860777,0.8342857142857143
t2,1,ENE/E,2025,summer,2–4,99,1.3774891774891775,0.17927609427609428
t2,1,ENE/E,2025,summer,4–6,114,1.1545978675158008,0.30182748538011694
t2,1,ENE/E,2025,summer,6–8,121,0.8680773249738768,0.3612011019283747
t2,1,ENE/E,2025,summer,8–10,73,0.949068569163694,0.5275799086757991
t2,1,ENE/E,2025,summer,10–12,18,1.092168258122285,0.8301851851851851
t2,1,ENE/E,2025,winter,2–4,261,1.262605042016807,0.11192848020434228
t2,1,ENE/E,2025,winter,4–6,379,1.1677927927927927,0.27258575197889184
t2,1,ENE/E,2025,winter,6–8,337,1.326520681265207,0.6302621167161226
t2,1,ENE/E,2025,winter,8–10,179,1.2912679425837321,0.8486499068901303
t2,1,ENE/E,2025,winter,10–12,80,1.1846488461897153,0.9599166666666665
t2,1,ENE/E,2026,winter,2–4,89,1.5657093124456047,0.20159176029962547
t2,1,ENE/E,2026,winter,4–6,237,1.2355396541443053,0.31249648382559775
t2,1,ENE/E,2026,winter,6–8,201,1.1282258064516129,0.526575456053068
t2,1,ENE/E,2026,winter,8–10,134,1.2564058585145201,0.7708706467661691
t2,1,ENE/E,2026,winter,10–12,38,1.2424135978446333,0.9716140350877192
t2,1,ENE/E,2026,winter,12+,5,1.2122835943940642,0.9746666666666666
t2,1,WSW/W,2024,autumn,2–4,131,1.1602787456445993,0.11142493638676844
t2,1,WSW/W,2024,autumn,4–6,140,1.151058714878171,0.20997619047619048
t2,1,WSW/W,2024,autumn,6–8,143,0.9822469528351881,0.3730769230769231
t2,1,WSW/W,2024,autumn,8–10,122,0.9593533572728399,0.5790573770491803
t2,1,WSW/W,2024,autumn,10–12,100,0.9694516739894962,0.7818833333333334
t2,1,WSW/W,2024,autumn,12+,120,0.8524489355669034,0.8899861111111111
t2,1,WSW/W,2024,spring,2–4,129,0.9818007662835249,0.06925064599483205
t2,1,WSW/W,2024,spring,4–6,212,1.1049731350827456,0.22564465408805032
t2,1,WSW/W,2024,spring,6–8,222,1.025001508841813,0.39222972972972975
t2,1,WSW/W,2024,spring,8–10,187,1.0077729573391176,0.6227183600713013
t2,1,WSW/W,2024,spring,10–12,120,0.9147382846759794,0.7167361111111111
t2,1,WSW/W,2024,spring,12+,184,0.8850367043067773,0.9198097826086957
t2,1,WSW/W,2024,summer,2–4,121,1.093137254901961,0.11842424242424243
t2,1,WSW/W,2024,summer,4–6,200,0.8608815652839263,0.19452999999999998
t2,1,WSW/W,2024,summer,6–8,187,0.9094256259204713,0.3127272727272727
t2,1,WSW/W,2024,summer,8–10,140,0.9095209009640798,0.4737619047619048
t2,1,WSW/W,2024,summer,10–12,68,0.6592187442084585,0.44512254901960785
t2,1,WSW/W,2024,summer,12+,16,0.6664114382560984,0.49531250000000004
t2,1,WSW/W,2024,winter,2–4,24,1.3203472580367888,0.06423611111111112
t2,1,WSW/W,2024,winter,4–6,57,1.2251700680272108,0.215233918128655
t2,1,WSW/W,2024,winter,6–8,25,1.1065028161802355,0.40546666666666664
t2,1,WSW/W,2024,winter,8–10,4,0.785950298517007,0.1875
t2,1,WSW/W,2025,autumn,2–4,148,1.3022424958431784,0.13230855855855855
t2,1,WSW/W,2025,autumn,4–6,143,1.2371250707413695,0.2954895104895105
t2,1,WSW/W,2025,autumn,6–8,121,1.0882599580712788,0.47331955922865016
t2,1,WSW/W,2025,autumn,8–10,91,1.1515151515151514,0.7046886446886447
t2,1,WSW/W,2025,autumn,10–12,74,1.0449575080244142,0.8366441441441441
t2,1,WSW/W,2025,autumn,12+,40,0.8977629525593009,0.8303333333333333
t2,1,WSW/W,2025,spring,2–4,89,0.9002574002574003,0.11264044943820226
t2,1,WSW/W,2025,spring,4–6,204,0.9952934591667888,0.24844117647058825
t2,1,WSW/W,2025,spring,6–8,151,0.9012651265126513,0.369280353200883
t2,1,WSW/W,2025,spring,8–10,174,0.8974657791408823,0.5486791187739464
t2,1,WSW/W,2025,spring,10–12,125,0.93406432748538,0.7343733333333333
t2,1,WSW/W,2025,spring,12+,152,0.870185116203021,0.8591776315789473
t2,1,WSW/W,2025,summer,2–4,150,0.9368947037278386,0.11099999999999999
t2,1,WSW/W,2025,summer,4–6,227,0.8904255319148935,0.21115638766519823
t2,1,WSW/W,2025,summer,6–8,275,0.9125548245614035,0.3297272727272727
t2,1,WSW/W,2025,summer,8–10,169,1.0337530605106682,0.5746153846153846
t2,1,WSW/W,2025,summer,10–12,89,0.9055704498063747,0.6491385767790262
t2,1,WSW/W,2025,summer,12+,61,0.7281836631151699,0.6313825136612021
t2,1,WSW/W,2025,winter,2–4,93,1.308864265927978,0.07600358422939069
t2,1,WSW/W,2025,winter,4–6,113,1.0050709939148075,0.14020648967551622
t2,1,WSW/W,2025,winter,6–8,111,1.0510249554367201,0.41243243243243244
t2,1,WSW/W,2025,winter,8–10,77,1.063243243243243,0.6403896103896104
t2,1,WSW/W,2025,winter,10–12,31,0.8523206751054853,0.7224193548387097
t2,1,WSW/W,2025,winter,12+,60,0.8352236883182427,0.94325
t2,1,WSW/W,2026,winter,2–4,101,1.4590347923681255,0.06838283828382839
t2,1,WSW/W,2026,winter,4–6,90,1.031393803371512,0.1527777777777778
t2,1,WSW/W,2026,winter,6–8,65,1.1157340985174558,0.45717948717948714
t2,1,WSW/W,2026,winter,8–10,53,1.0632183908045978,0.615503144654088
t2,1,WSW/W,2026,winter,10–12,24,1.0514796852393187,0.8475
t2,1,WSW/W,2026,winter,12+,13,0.9576923076923077,0.8247179487179488
t2,2,ENE/E,2024,autumn,2–4,165,1.1834094368340944,0.13984848484848483
t2,2,ENE/E,2024,autumn,4–6,238,1.186515862711808,0.3161064425770308
t2,2,ENE/E,2024,autumn,6–8,282,1.2230493159500924,0.5727895981087471
t2,2,ENE/E,2024,autumn,8–10,177,1.246714456391876,0.8074011299435028
t2,2,ENE/E,2024,autumn,10–12,22,1.3233498882877062,0.9453030303030303
t2,2,ENE/E,2024,spring,2–4,117,1.3926666666666667,0.19571794871794873
t2,2,ENE/E,2024,spring,4–6,181,1.2090395480225988,0.3257642725598527
t2,2,ENE/E,2024,spring,6–8,186,1.3438052118691899,0.6129390681003584
t2,2,ENE/E,2024,spring,8–10,94,1.1535935488001452,0.6799822695035461
t2,2,ENE/E,2024,spring,10–12,41,1.1936369509043927,0.8846341463414635
t2,2,ENE/E,2024,spring,12+,8,1.1314197021321437,0.9579166666666667
t2,2,ENE/E,2024,summer,2–4,121,1.2827988338192418,0.16596143250688705
t2,2,ENE/E,2024,summer,4–6,170,1.1334555827220867,0.29168627450980394
t2,2,ENE/E,2024,summer,6–8,98,1.1737540334607772,0.4819557823129252
t2,2,ENE/E,2024,summer,8–10,22,1.3232145099997954,0.6712121212121211
t2,2,ENE/E,2024,winter,2–4,29,1.6966927763272412,0.19126436781609196
t2,2,ENE/E,2024,winter,4–6,42,1.6871828908554574,0.5110317460317461
t2,2,ENE/E,2024,winter,6–8,39,1.538135593220339,0.8413675213675214
t2,2,ENE/E,2024,winter,8–10,5,1.2561728395061729,0.97
t2,2,ENE/E,2025,autumn,2–4,181,1.356440511307768,0.14264272559852673
t2,2,ENE/E,2025,autumn,4–6,266,1.0328772911385027,0.2436942355889724
t2,2,ENE/E,2025,autumn,6–8,167,1.1573922531369338,0.512564870259481
t2,2,ENE/E,2025,autumn,8–10,88,1.1336604137956896,0.7112121212121212
t2,2,ENE/E,2025,autumn,10–12,28,1.1137445606634246,0.8890476190476191
t2,2,ENE/E,2025,autumn,12+,36,0.9569220784426171,0.9177777777777778
t2,2,ENE/E,2025,spring,2–4,109,1.4957264957264957,0.21660550458715597
t2,2,ENE/E,2025,spring,4–6,189,1.292046144505161,0.36818783068783073
t2,2,ENE/E,2025,spring,6–8,241,1.3755750731911334,0.6414349930843707
t2,2,ENE/E,2025,spring,8–10,111,1.3407934893184132,0.8745270270270271
t2,2,ENE/E,2025,spring,10–12,39,1.226718047527296,0.9476495726495727
t2,2,ENE/E,2025,spring,12+,12,0.9999972144006962,0.8398611111111111
t2,2,ENE/E,2025,summer,2–4,96,1.4695604244178035,0.18729166666666666
t2,2,ENE/E,2025,summer,4–6,115,1.0747694334650857,0.2867101449275362
t2,2,ENE/E,2025,summer,6–8,109,0.9544513457556937,0.39222018348623855
t2,2,ENE/E,2025,summer,8–10,63,0.9899918300653594,0.5366666666666667
t2,2,ENE/E,2025,summer,10–12,14,0.9577976377129718,0.7934523809523809
t2,2,ENE/E,2025,winter,2–4,312,1.4925279017386388,0.15562499999999999
t2,2,ENE/E,2025,winter,4–6,354,1.2215137731621248,0.30504708097928435
t2,2,ENE/E,2025,winter,6–8,330,1.2685475417596537,0.6096111111111111
t2,2,ENE/E,2025,winter,8–10,168,1.3102739726027397,0.8770436507936508
t2,2,ENE/E,2025,winter,10–12,61,1.1907282643567534,0.9593442622950819
