issue_date,issue_time_utc,target_time_utc,target_time_local,lead_hours,lead_day,turbine,p10,p50,p90,wind_speed_100m,wind_direction_100m,wind_speed_10m,wind_gusts_10m,temperature_2m,surface_pressure,weather_source,model_version,previous_p50,revision
2026-02-01,2026-02-01T18:00:00+00:00,2026-02-02T04:00:00+00:00,2026-02-02T09:00:00+05:00,10,1,t1,0.2726,0.583,0.9636,7.8,63.0,3.7,9.3,1.7,955.6,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.5403,0.0427
2026-02-01,2026-02-01T18:00:00+00:00,2026-02-02T05:00:00+00:00,2026-02-02T10:00:00+05:00,11,1,t1,0.3661,0.701,0.9794,6.77,56.0,4.64,11.9,4.1,955.6,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.6852,0.0158
2026-02-01,2026-02-01T18:00:00+00:00,2026-02-02T06:00:00+00:00,2026-02-02T11:00:00+05:00,12,1,t1,0.3964,0.7121,0.9736,7.25,53.0,5.24,13.7,5.7,955.7,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.7159,-0.0038
2026-02-01,2026-02-01T18:00:00+00:00,2026-02-02T07:00:00+00:00,2026-02-02T12:00:00+05:00,13,1,t1,0.4507,0.81,0.988,7.66,54.0,5.6,14.7,6.9,954.8,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.7784,0.0316
2026-02-01,2026-02-01T18:00:00+00:00,2026-02-02T08:00:00+00:00,2026-02-02T13:00:00+05:00,14,1,t1,0.4763,0.8201,0.9894,8.06,54.0,5.85,15.4,7.8,953.9,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.8515,-0.0314
2026-02-01,2026-02-01T18:00:00+00:00,2026-02-02T09:00:00+00:00,2026-02-02T14:00:00+05:00,15,1,t1,0.5002,0.8326,0.99,8.28,53.0,5.88,15.4,8.0,953.7,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.8881,-0.0555
2026-02-01,2026-02-01T18:00:00+00:00,2026-02-02T10:00:00+00:00,2026-02-02T15:00:00+05:00,16,1,t1,0.4401,0.863,0.9871,7.84,52.0,4.95,15.0,7.2,953.7,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.8628,0.0002
2026-02-01,2026-02-01T18:00:00+00:00,2026-02-02T11:00:00+00:00,2026-02-02T16:00:00+05:00,17,1,t1,0.4523,0.8051,0.987,7.62,60.0,3.88,13.7,5.3,953.3,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.723,0.0821
2026-02-01,2026-02-01T18:00:00+00:00,2026-02-02T12:00:00+00:00,2026-02-02T17:00:00+05:00,18,1,t1,0.248,0.7238,0.9406,5.44,62.0,2.01,10.4,1.7,952.8,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.7166,0.0072
2026-02-01,2026-02-01T18:00:00+00:00,2026-02-02T13:00:00+00:00,2026-02-02T18:00:00+05:00,19,1,t1,0.01,0.409,0.6611,3.91,69.0,1.5,3.5,0.6,953.1,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.5861,-0.1771
2026-02-01,2026-02-01T18:00:00+00:00,2026-02-02T14:00:00+00:00,2026-02-02T19:00:00+05:00,20,1,t1,0.01,0.2589,0.4301,3.07,66.0,1.05,3.6,0.0,953.1,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.2852,-0.0263
2026-02-01,2026-02-01T18:00:00+00:00,2026-02-02T15:00:00+00:00,2026-02-02T20:00:00+05:00,21,1,t1,0.01,0.1484,0.3077,3.11,66.0,1.25,2.9,-0.4,953.0,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.1855,-0.0371
2026-02-01,2026-02-01T18:00:00+00:00,2026-02-02T16:00:00+00:00,2026-02-02T21:00:00+05:00,22,1,t1,0.01,0.1396,0.2838,3.69,63.0,1.39,2.6,-1.1,952.6,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.1796,-0.04
2026-02-01,2026-02-01T18:00:00+00:00,2026-02-02T17:00:00+00:00,2026-02-02T22:00:00+05:00,23,1,t1,0.01,0.1593,0.3291,3.67,70.0,1.46,2.8,-1.1,952.4,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.2018,-0.0425
2026-02-01,2026-02-01T18:00:00+00:00,2026-02-02T18:00:00+00:00,2026-02-02T23:00:00+05:00,24,1,t1,0.01,0.1711,0.3678,3.97,76.0,1.74,3.2,-0.8,952.0,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.1801,-0.009
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-02T19:00:00+00:00,2026-02-03T00:00:00+05:00,1,1,t1,0.01,0.2336,0.4578,5.19,71.0,2.17,3.6,-0.8,951.6,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.243,-0.0094
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-02T20:00:00+00:00,2026-02-03T01:00:00+05:00,2,1,t1,0.0967,0.3574,0.6661,6.05,67.0,2.52,4.2,-0.8,951.1,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.353,0.0044
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-02T21:00:00+00:00,2026-02-03T02:00:00+05:00,3,1,t1,0.1432,0.409,0.8401,6.47,69.0,2.84,4.5,-1.0,950.8,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.3694,0.0396
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-02T22:00:00+00:00,2026-02-03T03:00:00+05:00,4,1,t1,0.1715,0.4331,0.8671,6.52,69.0,2.84,4.9,-1.6,950.1,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.3871,0.046
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-02T23:00:00+00:00,2026-02-03T04:00:00+05:00,5,1,t1,0.1964,0.4351,0.8475,6.53,66.0,2.62,4.9,-1.7,950.0,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.4008,0.0343
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-03T00:00:00+00:00,2026-02-03T05:00:00+05:00,6,1,t1,0.1106,0.3202,0.8285,4.78,59.0,1.54,5.0,-2.4,950.4,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.3209,-0.0007
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-03T01:00:00+00:00,2026-02-03T06:00:00+05:00,7,1,t1,0.0997,0.2783,0.6754,2.43,76.0,0.99,4.7,-2.7,951.0,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.2147,0.0636
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-03T02:00:00+00:00,2026-02-03T07:00:00+05:00,8,1,t1,0.01,0.194,0.5821,3.43,71.0,1.45,4.7,-2.7,951.2,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.16,0.034
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-03T03:00:00+00:00,2026-02-03T08:00:00+05:00,9,1,t1,0.01,0.1534,0.3823,2.47,83.0,0.99,4.1,-0.5,952.6,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.1595,-0.0061
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-03T04:00:00+00:00,2026-02-03T09:00:00+05:00,10,1,t1,0.01,0.0729,0.2422,2.67,218.0,1.82,3.1,3.0,954.0,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.1367,-0.0638
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-03T05:00:00+00:00,2026-02-03T10:00:00+05:00,11,1,t1,0.01,0.0417,0.1242,3.43,254.0,2.52,4.0,5.1,954.3,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.0625,-0.0208
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-03T06:00:00+00:00,2026-02-03T11:00:00+05:00,12,1,t1,0.01,0.0621,0.2389,5.06,253.0,3.8,4.5,5.4,954.6,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.0537,0.0084
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-03T07:00:00+00:00,2026-02-03T12:00:00+05:00,13,1,t1,0.01,0.0559,0.1573,4.82,260.0,3.61,3.2,6.0,954.4,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.0391,0.0168
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-03T08:00:00+00:00,2026-02-03T13:00:00+05:00,14,1,t1,0.01,0.0438,0.0886,3.15,268.0,2.4,2.3,7.2,953.7,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.0473,-0.0035
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-03T09:00:00+00:00,2026-02-03T14:00:00+05:00,15,1,t1,0.01,0.0339,0.0573,3.2,272.0,2.4,3.1,7.2,953.9,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.0614,-0.0275
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-03T10:00:00+00:00,2026-02-03T15:00:00+05:00,16,1,t1,0.01,0.0484,0.1095,2.45,268.0,1.75,3.4,7.0,954.4,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.0954,-0.047
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-03T11:00:00+00:00,2026-02-03T16:00:00+05:00,17,1,t1,0.01,0.1144,0.206,3.2,267.0,1.4,3.1,4.4,954.5,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.1571,-0.0427
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-03T12:00:00+00:00,2026-02-03T17:00:00+05:00,18,1,t1,0.01,0.1783,0.3678,4.86,266.0,2.11,4.9,1.2,954.1,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.1568,0.0215
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-03T13:00:00+00:00,2026-02-03T18:00:00+05:00,19,1,t1,0.01,0.344,0.6311,4.44,230.0,2.13,5.4,2.2,955.2,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.284,0.06
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-03T14:00:00+00:00,2026-02-03T19:00:00+05:00,20,1,t1,0.1438,0.4357,0.7442,6.42,238.0,3.24,6.4,2.4,955.6,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.3408,0.0949
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-03T15:00:00+00:00,2026-02-03T20:00:00+05:00,21,1,t1,0.1771,0.533,0.8543,7.23,246.0,3.61,6.5,2.5,955.8,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.3759,0.1571
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-03T16:00:00+00:00,2026-02-03T21:00:00+05:00,22,1,t1,0.1718,0.5689,0.866,6.54,249.0,3.05,6.2,1.8,956.0,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.36,0.2089
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-03T17:00:00+00:00,2026-02-03T22:00:00+05:00,23,1,t1,0.1642,0.5314,0.8659,6.36,252.0,3.18,6.0,1.8,956.4,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.3249,0.2065
2026-02-02,2026-02-02T18:00:00+00:00,2026-02-03T18:00:00+00:00,2026-02-03T23:00:00+05:00,24,1,t1,0.1669,0.5477,0.866,6.6,246.0,3.19,6.0,2.5,955.8,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.3038,0.2439
2026-02-03,2026-02-03T18:00:00+00:00,2026-02-03T19:00:00+00:00,2026-02-04T00:00:00+05:00,1,1,t1,0.1494,0.5625,0.8586,6.29,258.0,2.68,6.6,1.7,956.1,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.3178,0.2447
2026-02-03,2026-02-03T18:00:00+00:00,2026-02-03T20:00:00+00:00,2026-02-04T01:00:00+05:00,2,1,t1,0.143,0.4724,0.8609,7.24,251.0,3.6,6.9,2.0,956.8,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.1917,0.2807
2026-02-03,2026-02-03T18:00:00+00:00,2026-02-03T21:00:00+00:00,2026-02-04T02:00:00+05:00,3,1,t1,0.1164,0.503,0.8674,6.48,250.0,3.17,7.0,2.5,957.3,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.2976,0.2054
2026-02-03,2026-02-03T18:00:00+00:00,2026-02-03T22:00:00+00:00,2026-02-04T03:00:00+05:00,4,1,t1,0.1291,0.4812,0.8367,6.37,255.0,3.14,6.4,2.6,957.3,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.4143,0.0669
2026-02-03,2026-02-03T18:00:00+00:00,2026-02-03T23:00:00+00:00,2026-02-04T04:00:00+05:00,5,1,t1,0.1504,0.4809,0.8381,6.16,249.0,3.11,6.1,2.6,957.5,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.4257,0.0552
2026-02-03,2026-02-03T18:00:00+00:00,2026-02-04T00:00:00+00:00,2026-02-04T05:00:00+05:00,6,1,t1,0.2001,0.5315,0.8944,7.61,241.0,4.31,6.5,2.6,958.1,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.3685,0.163
2026-02-03,2026-02-03T18:00:00+00:00,2026-02-04T01:00:00+00:00,2026-02-04T06:00:00+05:00,7,1,t1,0.2076,0.6266,0.9296,6.87,241.0,3.79,9.5,2.5,958.2,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.487,0.1396
2026-02-03,2026-02-03T18:00:00+00:00,2026-02-04T02:00:00+00:00,2026-02-04T07:00:00+05:00,8,1,t1,0.143,0.4894,0.8699,6.98,238.0,3.83,10.1,2.4,958.5,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.4828,0.0066
2026-02-03,2026-02-03T18:00:00+00:00,2026-02-04T03:00:00+00:00,2026-02-04T08:00:00+05:00,9,1,t1,0.0947,0.4084,0.8368,7.0,244.0,3.75,9.7,2.6,959.2,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.4041,0.0043
2026-02-03,2026-02-03T18:00:00+00:00,2026-02-04T04:00:00+00:00,2026-02-04T09:00:00+05:00,10,1,t1,0.01,0.3292,0.772,7.15,232.0,4.15,8.5,3.1,959.5,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.3952,-0.066
2026-02-03,2026-02-03T18:00:00+00:00,2026-02-04T05:00:00+00:00,2026-02-04T10:00:00+05:00,11,1,t1,0.01,0.2928,0.6983,7.05,232.0,4.41,8.1,3.7,959.7,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.2744,0.0184
2026-02-03,2026-02-03T18:00:00+00:00,2026-02-04T06:00:00+00:00,2026-02-04T11:00:00+05:00,12,1,t1,0.01,0.2216,0.5661,5.59,238.0,3.97,8.6,4.7,959.9,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.2364,-0.0148
2026-02-03,2026-02-03T18:00:00+00:00,2026-02-04T07:00:00+00:00,2026-02-04T12:00:00+05:00,13,1,t1,0.01,0.164,0.4637,5.23,243.0,3.99,9.4,6.2,959.6,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.186,-0.022
2026-02-03,2026-02-03T18:00:00+00:00,2026-02-04T08:00:00+00:00,2026-02-04T13:00:00+05:00,14,1,t1,0.01,0.1523,0.3806,5.19,251.0,4.0,9.6,7.6,958.9,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.1412,0.0111
2026-02-03,2026-02-03T18:00:00+00:00,2026-02-04T09:00:00+00:00,2026-02-04T14:00:00+05:00,15,1,t1,0.01,0.1602,0.3752,4.99,254.0,3.81,10.0,8.0,958.7,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.147,0.0132
2026-02-03,2026-02-03T18:00:00+00:00,2026-02-04T10:00:00+00:00,2026-02-04T15:00:00+05:00,16,1,t1,0.01,0.1524,0.3574,4.57,250.0,3.39,10.0,7.4,958.8,open-meteo/previous-runs (best_match + GFS/ICON/ECMWF),power_model_v1@2026-01-31,0.1503,0.0021
